000
"Info1 (Mat.Dat.)";"Ecktermin 🔑:W07 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W08 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W09 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W10 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W11 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W12 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W13 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W14 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W15 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W16 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W17 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W18 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W19 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W20 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W21 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W22 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W23 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W24 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W25 2025,Rest-Belastung Gesamt Personal";"Rest-Belastung Gesamt Personal";"Disponent";"Materialnummer 🔑";"Auftragsnummer 🔑";"Offene Menge";"Arbeitsplatznummer";"Werk 🔑 | Info1 (Mat.Dat.) | Arbeitsplatznummer | Materialnummer 🔑 | Ecktermin 🔑"
- "";000;392;795;821;809;939;808;947;971;775;854;559;990;754;1028;654;1121;713;065;14004:55;"";"173";"884";1.245.603;"";"0100"
   + "";000;000;000;000;005;000;000;000;000;000;000;000;025;000;000;000;000;000;000;30:00;"DH1";"1";"3";120;"MON69";"0100 | "
   + "ABUS";000;004;027;000;000;003;000;041;071;001;031;006;000;000;013;000;000;000;000;201:41;"DH1";"9";"14";25.325;"";"0100 | ABUS"
   + "BSH";000;024;051;059;034;065;055;039;045;013;072;014;051;041;054;033;053;033;000;742:25;"";"33";"301";298.282;"";"0100 | BSH"
   + "DataModul";000;208;198;156;197;249;160;134;184;266;185;194;226;201;343;153;455;236;000;3752:04;"CB1";"18";"68";389.573;"";"0100 | DataModul"
   + "Ericsson";000;003;000;000;000;000;001;000;002;000;000;000;000;000;000;000;000;000;000;07:48;"CB1";"8";"11";363;"";"0100 | Ericsson"
   + "Joyson";000;005;017;030;028;015;025;015;015;015;030;010;015;015;021;018;015;015;007;321:03;"CB1";"2";"23";53.004;"";"0100 | Joyson"
   + "PARITEC";000;000;036;024;000;037;098;045;046;000;035;026;046;000;015;038;088;000;000;539:40;"AG1";"6";"17";35.914;"";"0100 | PARITEC"
   + "Silver Atena";000;000;000;000;048;044;008;054;025;000;000;000;000;000;000;000;026;026;006;239:22;"CB1";"10";"16";12.332;"";"0100 | Silver Atena"
   + "TTTech";000;014;036;053;057;075;110;124;046;083;105;069;109;097;082;052;030;033;000;1186:15;"DS1";"28";"84";45.002;"";"0100 | TTTech"
   + "Telic";000;072;167;168;054;100;067;091;141;074;095;042;140;109;125;057;112;115;025;1761:58;"DH1";"9";"109";178.871;"";"0100 | Telic"
   + "Tremec";000;050;181;259;330;300;264;356;309;250;257;182;302;261;288;230;308;238;026;4397:59;"DS1";"12";"160";191.845;"";"0100 | Tremec"
   + "Vector";000;006;078;068;054;048;016;045;083;070;041;011;072;028;083;069;030;014;000;824:40;"DH1";"37";"78";14.972;"";"0100 | Vector"

