000
"Werk 🔑 | Disponent | PB | Info1 (Mat.Dat.) | Auftragsnummer 🔑";"Disponent";"PB";"Info1 (Mat.Dat.)";"Auftragsnummer 🔑";"Materialnummer 🔑";"Materialbezeichnung";"Vorgangsbezeichnung";"Arbeitsplatznummer";"Vorgangsmenge";"Rest-Belastung Gesamt Personal";"Rest-Belastung Gesamt Personal(Szen.:Produktiv)";"Auftragsstatus";"Status";"Ecktermin 🔑";"Gut Menge";"Auftragsstatus(Szen.:Produktiv *)";"Status(Szen.:Produktiv *)";"Ecktermin 🔑(Szen.:Produktiv *)";"Gut Menge(Szen.:Produktiv *)";"Gut Menge %";"Filterbedingung";"Kommentar in Prod - INFO11";"Kommentar in Prod - INFO12";"Gesamtbelastung Personal";"Gesamtbelastung Maschine";"Arbeitsfolge Nr. 🔑";"Art"
+ "0100 | AG1 | PB1 | BSH | 1330196/ZP01";"AG1";"PB1";"BSH";"1330196";"10000391-01";"CG_UIM_E62_BO_E61";"SMT Bestückung BOT";"SMT6";2.268     ;00:18;00:18;"TGLI";"Teilfertig";03.02.2025;2.204     ;"TGLI";"Teilfertig";13.02.2025;2.204;97  %;"offen";"";"";11:35;05:55;20;"Fertigungsauftrag"
+ "0100 | AG1 | PB1 | BSH | 1333594/ZP01";"AG1";"PB1";"BSH";"1333594";"10000392";"CG_UIM_E62_SE_NF_E61";"";"SMT6";1.564     ;12:53;00:10;"EROF";"Offen";12.02.2025;0     ;"TGLI";"Teilfertig";13.02.2025;1.528;98  %;"offen";"";"";12:53;;;"Fertigungsauftrag"
+ "0100 | AG1 | PB1 | BSH | 1333661/ZP01";"AG1";"PB1";"BSH";"1333661";"10000391-01";"CG_UIM_E62_BO_E61";"";"SMT6";2.300     ;18:04;00:01;"FREI";"Offen";11.02.2025;0     ;"TGLI";"Teilfertig";13.02.2025;2.296;100  %;"offen";"Material";"12.02. 19501747BF falscher Bestand";18:04;;;"Fertigungsauftrag"
+ "0100 | AG1 | PB1 | BSH | 1333671/ZP01";"AG1";"PB1";"BSH";"1333671";"10000392";"CG_UIM_E62_SE_NF_E61";"";"SMT6";1.472     ;12:09;00:02;"EROF";"Offen";13.02.2025;0     ;"TGLI";"Teilfertig";13.02.2025;1.460;99  %;"offen";"";"";12:09;;;"Fertigungsauftrag"
+ "0100 | AG1 | PB1 | BSH | 1333776/ZP01";"AG1";"PB1";"BSH";"1333776";"13602222-01BF";"TE90x_IAB-SE_C1";"SMT Bestückung TOP +  *";"SMT6";100     ;00:51;00:00;"FREI";"Offen";14.02.2025;0     ;"TRÜC";"Teilfertig";13.02.2025;100;100  %;"offen";"";"";00:51;00:33;10;"Fertigungsauftrag"
+ "0100 | AG1 | PB1 | BSH | 1333911/ZP01";"AG1";"PB1";"BSH";"1333911";"10000391-01";"CG_UIM_E62_BO_E61";"";"SMT6";1.104     ;08:56;04:14;"EROF";"Offen";13.02.2025;0     ;"TGLI";"Teilfertig";14.02.2025;256;23  %;"offen";"";"";08:56;;;"Fertigungsauftrag"
+ "0100 | AG1 | PB2 | BSH | 1333464/ZP01";"AG1";"PB2";"BSH";"1333464";"30000530-03";"9001844108 CG_UIM_E62_SE_NF_E61";"";"";768     ;07:01;02:49;"TRÜC";"";13.02.2025;     ;"TGLI";"Teilfertig";13.02.2025;430;56  %;"offen";"";"";07:23;;;"Fertigungsauftrag"
+ "0100 | AG1 | PB2 | BSH | 1333651/ZP01";"AG1";"PB2";"BSH";"1333651";"30000529-03";"9001844107 CG_UIM_E62_BO_E61";"";"";1.536     ;14:44;00:01;"EROF";"Offen";13.02.2025;0     ;"TGLI";"Teilfertig";13.02.2025;1.533;100  %;"offen";"";"";14:44;;;"Fertigungsauftrag"
+ "0100 | AG1 | PB2 | BSH | 1333728/ZP01";"AG1";"PB2";"BSH";"1333728";"10000029";"8001244769 IC6_NE63 BI Neff Maser Piece";"";"";900     ;04:48;00:00;"EROF";"Offen";13.02.2025;0     ;"TGLI";"Teilfertig";13.02.2025;898;100  %;"offen";"";"";04:48;;;"Fertigungsauftrag"
+ "0100 | AG1 | PB2 | BSH | 1333973/ZP01";"AG1";"PB2";"BSH";"1333973";"30000530-03";"9001844108 CG_UIM_E62_SE_NF_E61";"";"";768     ;04:26;03:28;"EROF";"Offen";13.02.2025;0     ;"TRÜC";"";17.02.2025;0;0  %;"offen";"";"";04:26;;;"Fertigungsauftrag"
+ "0100 | AG1 | PB3 | BSH | 1333119/ZP01";"AG1";"PB3";"BSH";"1333119";"13602566-04BF";"ED_MMB_STM32F4 _V2  8001166185";"Prüfen auf MTS30 +";"PRF121";2.600     ;43:20;18:20;"TRÜC";"Offen";12.02.2025;0     ;"TGLI";"Teilfertig";17.02.2025;1.500;58  %;"offen";"Sonstiges";"07.02. Neue Revision STM32F4 musste freig. werden";43:20;43:20;40;"Fertigungsauftrag"
+ "0100 | AG1 | PB3 | BSH | 1333542/ZP01";"AG1";"PB3";"BSH";"1333542";"30003455-08";"8001274882 ASM Elektronik UI ES400 V06";"";"";576     ;20:37;20:37;"EROF";"Offen";12.02.2025;0     ;"FREI";"Offen";18.02.2025;0;0  %;"offen";"Sonstiges";"07.02. Neue Revision STM32F4 musste freig. werden";20:37;;;"Fertigungsauftrag"
+ "0100 | AG1 | PB3 | BSH | 1333544/ZP01";"AG1";"PB3";"BSH";"1333544";"30003455-08";"8001274882 ASM Elektronik UI ES400 V06";"";"";576     ;20:37;20:37;"EROF";"Offen";12.02.2025;0     ;"FREI";"Offen";17.02.2025;0;0  %;"offen";"";"";20:37;;;"Fertigungsauftrag"
+ "0100 | AG1 | PB3 | BSH | 1333545/ZP01";"AG1";"PB3";"BSH";"1333545";"30003455-08";"8001274882 ASM Elektronik UI ES400 V06";"Montage lt. Bildschirmanweisung *";"MON66";576     ;08:10;06:00;"EROF";"Offen";13.02.2025;0     ;"TRÜC";"Teilfertig";13.02.2025;144;25  %;"offen";"";"";08:10;00:10;10;"Fertigungsauftrag"
+ "0100 | AG1 | PB4 | PARITEC | 1333306/ZP01";"AG1";"PB4";"PARITEC";"1333306";"30005081";"578B1500 Elektronik CS montiert";"NUTZENTRENNEN FRÄSE EQ-Nr. 19475";"NTZ04";240     ;01:21;01:21;"FREI";"Offen";13.02.2025;0     ;"FREI";"Offen";17.02.2025;0;0  %;"offen";"";"";01:21;01:21;10;"Fertigungsauftrag"
+ "0100 | CB1 | PB1 | DataModul | 1333877/ZP01";"CB1";"PB1";"DataModul";"1333877";"30003542-02BF";"eMotionNT1:3G 12038990";"SMT-Bestückung ,,# TOP";"SMT4";3.200     ;20:03;00:01;"FREI";"Offen";12.02.2025;0     ;"TRÜC";"Teilfertig";12.02.2025;3.196;100  %;"offen";"Produktion";"17.02. Verzögerung SMT4";20:03;10:17;10;"Fertigungsauftrag"
+ "0100 | CB1 | PB1 | Ericsson | 1333893/ZP01";"CB1";"PB1";"Ericsson";"1333893";"13603102-02BF";"FlexRET Frugal";"";"SMT4";500     ;04:17;00:01;"FREI";"Offen";13.02.2025;0     ;"NACH";"Teilfertig";18.02.2025;492;98  %;"offen";"";"";04:17;;;"Fertigungsauftrag"
+ "0100 | CB1 | PB2 | Ericsson | 1329978/ZP01";"CB1";"PB2";"Ericsson";"1329978";"30003060BF";"PCA Portable Control Adapter";"Montage:";"MON212";64     ;00:06;00:06;"TGLI";"Teilfertig";06.02.2025;63     ;"TGLI";"Teilfertig";20.02.2025;63;98  %;"offen";"Personal";"";06:24;00:00;10;"Fertigungsauftrag"
+ "0100 | CB1 | PB4 | DataModul | 1333132/ZP01";"CB1";"PB4";"DataModul";"1333132";"30003411-06BF";"eMotionUHD-II-G 12032701";"Kühlkörpermotage - FKT-Prüfung und VP";"PRF97";500     ;00:09;00:09;"TGLI";"Teilfertig";04.02.2025;493     ;"TGLI";"Teilfertig";14.02.2025;493;99  %;"offen";"";"";12:30;12:30;45;"Fertigungsauftrag"
+ "0100 | CB1 | PB4 | DataModul | 1333513/ZP01";"CB1";"PB4";"DataModul";"1333513";"30003411-07";"eMotionUHD-II-Plus 12071293";"Kühlkörpermotage - FKT-Prüfung und VP";"PRF97";300     ;00:45;00:01;"TRÜC";"Offen";11.02.2025;0     ;"TGLI";"Teilfertig";13.02.2025;287;96  %;"offen";"Produktion";"10.02. Nachlöten/Schrott";00:45;00:45;50;"Fertigungsauftrag"
+ "0100 | CB1 | PB4 | DataModul | 1333514/ZP01";"CB1";"PB4";"DataModul";"1333514";"30003827-02BF";"eDM-CB-SM-IPCS-VX1 12050308";"Verpackung der BG in Kartons";"VRP010";250     ;00:58;00:38;"TGLI";"Teilfertig";12.02.2025;20     ;"TGLI";"Teilfertig";13.02.2025;100;40  %;"offen";"Produktion";"10.02. 120 BGs falsch THT-bestückt";01:03;00:00;60;"Fertigungsauftrag"
+ "0100 | CB1 | PB4 | DataModul | 1333597/ZP01";"CB1";"PB4";"DataModul";"1333597";"30003557-01";"easyTOUCH mXT640UD 12058078";"Prüfung FKT und Verpackung";"PRF64";84     ;01:28;01:28;"TRÜC";"Offen";07.02.2025;0     ;"TRÜC";"Offen";21.02.2025;0;0  %;"offen";"Kunde";"17.02. Freigabe Prüfprogramm fehlt";01:28;01:28;30;"Fertigungsauftrag"
+ "0100 | CB1 | PB4 | DataModul | 1333801/ZP01";"CB1";"PB4";"DataModul";"1333801";"30003719-01";"eMotionUSB-K3-NT 12040951";"";"";30     ;00:49;00:06;"NAFR";"Offen";11.02.2025;0     ;"NATG";"Teilfertig";13.02.2025;26;87  %;"offen";"Material";"17.02. Fehlbestand 90700745BF + 90511296";00:49;;;"Fertigungsauftrag"
